budget,horizon,d_model,n_layers,n_heads,d_ff,param_count,val_loss,lr,dropout,epochs,warmup
2M,h1,64,48,2,256,2417473,0.3199,0.00023,0.30,75,500
2M,h3,64,32,2,256,1617729,0.2630,0.00100,0.10,50,100
2M,h5,64,64,16,128,2160449,0.3371,0.00082,0.24,100,200
20M,h1,128,180,16,256,23882881,0.3483,0.00060,0.14,50,100
20M,h3,256,32,2,512,16940289,0.3191,0.00051,0.27,75,200
20M,h5,384,12,4,1536,21403009,0.3458,0.00047,0.13,100,100
200M,h1,384,96,4,1536,170457985,0.3564,0.00078,0.30,75,200
200M,h3,384,180,4,768,213206401,0.3612,0.00068,0.21,100,100
200M,h5,512,48,2,2048,151460353,0.3547,0.00029,0.24,100,300
2B,h1,1024,128,2,4096,1612608513,0.3609,0.00013,0.21,50,300
2B,h3,768,256,32,3072,1814714113,0.3948,0.00079,0.21,100,100
2B,h5,1024,180,4,2048,1512268801,0.3592,0.00029,0.21,50,200
