budget,horizon,d_model,n_layers,n_heads,val_loss,epochs_trained,duration_sec
2M,h1,64,48,2,0.237,6,41
2M,h2,64,32,2,0.515,4,26
2M,h3,64,32,2,0.597,7,31
2M,h5,64,64,16,0.647,7,55
20M,h1,128,180,16,0.243,5,133
20M,h2,256,32,2,0.517,4,30
20M,h3,256,32,2,0.596,14,48
20M,h5,384,12,4,0.633,3,20
200M,h1,384,96,4,0.244,4,129
200M,h2,768,24,16,0.515,4,89
200M,h3,768,24,16,0.600,11,126
200M,h5,256,256,16,0.631,3,224
2B,h1,1024,128,2,0.232,17,1444
2B,h2,768,256,32,0.517,4,1012
2B,h3,768,256,32,0.581,4,987
2B,h5,1024,180,4,0.715,12,1711
