threshold,predicted_positive,true_positive,false_positive,true_negative,false_negative,precision,recall,f1_score,accuracy
0.5,0,0,0,157,24,0.0,0.0,0.0,0.8674033149171271
0.45,0,0,0,157,24,0.0,0.0,0.0,0.8674033149171271
0.4,0,0,0,157,24,0.0,0.0,0.0,0.8674033149171271
0.35,0,0,0,157,24,0.0,0.0,0.0,0.8674033149171271
0.33,0,0,0,157,24,0.0,0.0,0.0,0.8674033149171271
0.32,1,1,0,157,23,1.0,0.041666666666666664,0.08,0.8729281767955801
0.31,4,4,0,157,20,1.0,0.16666666666666666,0.2857142857142857,0.8895027624309392
0.3,5,5,0,157,19,1.0,0.20833333333333334,0.3448275862068966,0.8950276243093923
0.29,7,5,2,155,19,0.7142857142857143,0.20833333333333334,0.3225806451612903,0.8839779005524862
0.28,18,12,6,151,12,0.6666666666666666,0.5,0.5714285714285714,0.9005524861878453
0.27,26,13,13,144,11,0.5,0.5416666666666666,0.52,0.8674033149171271
0.26,42,19,23,134,5,0.4523809523809524,0.7916666666666666,0.5757575757575758,0.8453038674033149
0.25,67,21,46,111,3,0.31343283582089554,0.875,0.46153846153846156,0.7292817679558011
0.24,98,22,76,81,2,0.22448979591836735,0.9166666666666666,0.36065573770491804,0.569060773480663
0.23,111,23,88,69,1,0.2072072072072072,0.9583333333333334,0.34074074074074073,0.5082872928176796
0.22,139,24,115,42,0,0.17266187050359713,1.0,0.294478527607362,0.36464088397790057
0.21,157,24,133,24,0,0.15286624203821655,1.0,0.26519337016574585,0.26519337016574585
0.2,170,24,146,11,0,0.1411764705882353,1.0,0.24742268041237114,0.19337016574585636
0.19,180,24,156,1,0,0.13333333333333333,1.0,0.23529411764705882,0.13812154696132597
