trial,auc,precision,recall,pred_min,pred_max,forced_extreme,extreme_type,duration_sec,d_model,n_layers,n_heads,d_ff_ratio,learning_rate,dropout,weight_decay
0,0.7150897474901127,,,,,True,min_d_model,49.96838712692261,128,10,8,4,5e-05,0.3,0.0001
1,0.683221782780651,,,,,True,max_d_model,94.14974093437195,384,10,8,4,5e-05,0.3,0.0001
2,0.6914359598418011,,,,,True,min_n_layers,60.10893988609314,256,6,8,4,5e-05,0.3,0.0001
3,0.6923106175844235,,,,,True,max_n_layers,109.62153506278992,256,12,8,4,5e-05,0.3,0.0001
4,0.694250076057195,,,,,True,min_n_heads,93.52824211120605,256,10,8,4,5e-05,0.3,0.0001
5,0.6959233343474293,,,,,True,max_n_heads,93.46281003952026,256,10,16,4,5e-05,0.3,0.0001
6,0.6982811073927593,,,,,False,,54.86775302886963,192,10,8,2,0.0005,0.7,0.001
7,0.7022360815333132,,,,,False,,137.29311203956604,128,12,8,2,1e-05,0.3,0.0001
8,0.7044417401886219,,,,,False,,29.613137245178223,128,6,16,4,0.0001,0.5,0.0001
9,0.709613629449346,,,,,False,,76.32010388374329,192,6,16,2,1e-05,0.5,0.0
10,0.6694554304837238,,,,,False,,78.19511604309082,384,10,16,4,0.0001,0.3,0.0
11,0.6818527532704592,,,,,False,,59.783092975616455,256,6,8,4,5e-05,0.1,0.0
12,0.7037952540310313,,,,,False,,108.05675601959229,384,10,8,4,0.0001,0.7,0.001
13,0.6876331000912685,,,,,False,,69.72114396095276,320,10,16,2,0.0005,0.1,1e-05
14,0.6986613933678126,,,,,False,,105.14251804351807,320,10,16,2,5e-05,0.5,0.0
15,0.6913979312442957,,,,,False,,35.96072006225586,192,6,16,2,0.0005,0.7,1e-05
16,0.7012093094006693,,,,,False,,111.48337697982788,256,8,16,2,5e-05,0.7,0.0001
17,0.6592257377547917,,,,,False,,23.322872638702393,192,6,8,4,5e-05,0.1,0.0
18,0.7109066017645268,,,,,False,,151.82673501968384,384,6,16,2,1e-05,0.7,0.001
19,0.7006008518405841,,,,,False,,72.18458080291748,128,8,8,2,0.0001,0.7,0.0
20,0.7032248250684515,,,,,False,,181.4530370235443,384,12,16,2,1e-05,0.3,0.001
21,0.7114770307271068,,,,,False,,127.2752058506012,384,6,16,2,1e-05,0.5,0.001
22,0.7114770307271068,,,,,False,,126.86647510528564,384,6,16,2,1e-05,0.5,0.001
23,0.7114770307271068,,,,,False,,126.54869985580444,384,6,16,2,1e-05,0.5,0.001
24,0.7114770307271068,,,,,False,,126.33717083930969,384,6,16,2,1e-05,0.5,0.001
25,0.7076361423790692,,,,,False,,231.73984003067017,384,12,16,2,1e-05,0.5,0.001
26,0.7100319440219045,,,,,False,,169.90272116661072,384,8,16,2,1e-05,0.5,0.001
27,0.7035290538484941,,,,,False,,132.16379380226135,256,6,16,4,1e-05,0.5,1e-05
28,0.712922117432309,,,,,False,,157.89953184127808,320,6,16,2,1e-05,0.5,0.001
29,0.6844006693033162,,,,,False,,80.97641706466675,320,12,16,2,0.0005,0.5,0.001
30,0.7026163675083664,,,,,False,,138.5595510005951,320,8,8,4,1e-05,0.3,0.0001
31,0.712922117432309,,,,,False,,157.04077219963074,320,6,16,2,1e-05,0.5,0.001
32,0.712922117432309,,,,,False,,155.98197507858276,320,6,16,2,1e-05,0.5,0.001
33,0.712922117432309,,,,,False,,155.75917792320251,320,6,16,2,1e-05,0.5,0.001
34,0.712922117432309,,,,,False,,155.31308484077454,320,6,16,2,1e-05,0.5,0.001
35,0.6834119257681777,,,,,False,,43.41897702217102,320,6,16,2,0.0005,0.5,0.001
36,0.7118953452996654,,,,,False,,71.22598195075989,320,6,16,2,1e-05,0.1,0.001
37,0.7152038332826285,,,,,False,,238.80865001678467,320,12,8,2,1e-05,0.5,1e-05
38,0.651886218436264,,,,,False,,96.65274786949158,320,12,8,2,0.0001,0.3,1e-05
39,0.7017797383632493,,,,,False,,139.70536303520203,128,12,8,2,1e-05,0.5,1e-05
40,0.6986994219653179,,,,,False,,168.05710005760193,320,12,8,4,1e-05,0.5,1e-05
41,0.7150136902951019,,,,,False,,236.8462851047516,320,12,8,2,1e-05,0.5,0.0001
42,0.7150136902951019,,,,,False,,236.22290802001953,320,12,8,2,1e-05,0.5,0.0001
43,0.7150136902951019,,,,,False,,242.228257894516,320,12,8,2,1e-05,0.5,0.0001
44,0.6689610587161545,,,,,False,,115.23007011413574,320,12,8,2,0.0001,0.5,0.0001
45,0.6421128688773958,,,,,False,,98.14243626594543,320,12,8,2,5e-05,0.1,0.0001
46,0.7086248859142075,,,,,False,,149.45050716400146,192,12,8,4,1e-05,0.5,0.0001
47,0.6896105871615454,,,,,False,,47.48117923736572,128,12,8,2,0.0005,0.3,0.0001
48,0.6971402494675996,,,,,False,,278.0736629962921,256,12,8,2,1e-05,0.5,0.0001
49,0.6421128688773958,,,,,False,,97.64502215385437,320,12,8,2,5e-05,0.1,0.0001
