gamma,alpha,val_auc,val_precision,val_recall,pred_min,pred_max,epochs_run,duration_sec
0.0,0.5,0.7303011864922422,0.4642857142857143,0.17105263157894737,0.01222146861255169,0.8090474009513855,50,40.722874879837036
0.0,0.6,0.7230377243687253,0.4074074074074074,0.2894736842105263,0.01339264027774334,0.8723557591438293,50,50.77505373954773
0.0,0.7,0.7246349254639489,0.3953488372093023,0.4473684210526316,0.0237379539757967,0.9187588095664978,50,46.620869874954224
0.0,0.8,0.7249771828414968,0.3458646616541353,0.6052631578947368,0.0308467298746109,0.9564594030380249,50,51.52292013168335
0.0,0.85,0.724672954061454,0.3163841807909605,0.7368421052631579,0.04019944369792938,0.9706481099128723,50,50.77193284034729
0.0,0.9,0.7229616671737147,0.24583333333333332,0.7763157894736842,0.04956546425819397,0.9850236177444458,50,59.533397912979126
0.5,0.5,0.7264983267417098,0.47058823529411764,0.21052631578947367,0.03224988281726837,0.7834160923957825,50,52.868876218795776
0.5,0.6,0.7280194706419226,0.40350877192982454,0.3026315789473684,0.04119082912802696,0.8336499929428101,50,53.05575704574585
0.5,0.7,0.7274870702768481,0.36904761904761907,0.40789473684210525,0.053430549800395966,0.8765644431114197,50,52.940723180770874
0.5,0.8,0.7295786431396409,0.35714285714285715,0.6578947368421053,0.07299302518367767,0.9161588549613953,50,52.71831798553467
0.5,0.85,0.7298068147246729,0.3,0.75,0.08843202143907547,0.9360802173614502,50,52.69359993934631
0.5,0.9,0.7285138424094919,0.24701195219123506,0.8157894736842105,0.11184531450271606,0.9604227542877197,50,59.48381018638611
1.0,0.5,0.7305673866747794,0.48484848484848486,0.21052631578947367,0.07269563525915146,0.7441213130950928,50,52.21150612831116
1.0,0.6,0.730871615454822,0.38333333333333336,0.3026315789473684,0.08678701519966125,0.787894070148468,50,52.51143789291382
1.0,0.7,0.7306434438697901,0.37894736842105264,0.47368421052631576,0.10401583462953568,0.8293463587760925,50,52.64176392555237
1.0,0.8,0.7316321874049285,0.3464052287581699,0.6973684210526315,0.12893840670585632,0.872144341468811,50,55.00410985946655
1.0,0.85,0.7327730453300882,0.29207920792079206,0.7763157894736842,0.14727850258350372,0.8954725861549377,50,54.88241195678711
1.0,0.9,0.733115302707636,0.25,0.868421052631579,0.17419514060020447,0.9215191602706909,50,53.45344400405884
2.0,0.5,0.7370702768481898,0.36363636363636365,0.10526315789473684,0.17684900760650635,0.6305482983589172,50,53.54934072494507
2.0,0.6,0.7371083054456953,0.391304347826087,0.23684210526315788,0.19722828269004822,0.6680739521980286,50,52.80378699302673
2.0,0.7,0.7369181624581685,0.4,0.4473684210526316,0.22050322592258453,0.7077212929725647,50,52.72538995742798
2.0,0.8,0.7380590203833283,0.35064935064935066,0.7105263157894737,0.25045719742774963,0.7540942430496216,50,52.95591878890991
2.0,0.85,0.7383252205658656,0.29245283018867924,0.8157894736842105,0.27085158228874207,0.7829152941703796,50,52.52956700325012
2.0,0.9,0.7384773349558869,0.2375886524822695,0.881578947368421,0.29897865653038025,0.8197802305221558,50,52.59264326095581
