seed,loss,val_loss,auc,accuracy,train_time_s
42,bce,0.3179428407124111,0.6650197628458498,0.8959276018099548,21.60529613494873
42,weighted_05,0.403854889529092,0.6647452788757138,0.9004524886877828,30.015220880508423
123,bce,0.32750619974519524,0.6753403601229688,0.8959276018099548,20.99332904815674
123,weighted_05,0.41204225378377096,0.6747364953886692,0.8959276018099548,29.901602029800415
456,bce,0.3192622241164957,0.6489350021958717,0.8959276018099548,21.05311894416809
456,weighted_05,0.4068394750356674,0.6525032938076416,0.8959276018099548,29.645812034606934
789,bce,0.3266784814851625,0.6588164251207729,0.8959276018099548,21.2722430229187
789,weighted_05,0.41779795927660807,0.658102766798419,0.8981900452488688,30.2289400100708
1001,bce,0.31495569327047895,0.6661725955204215,0.8959276018099548,21.214581966400146
1001,weighted_05,0.4023475923708507,0.6615063680281073,0.9004524886877828,30.173102855682373
